Node,Ar-1 Freq (Hz),Ar-2 Freq (Hz),Ar-3 Freq (Hz),Ar-4 Freq (Hz)
1,265.8,267.15,267.15,267.15
2,529.58,532.27,530.26,530.26
3,797.4,797.4,797.4,797.4
4,1059.16,1059.16,1057.15,1057.15
5,1331.69,1331.69,1329,1329
6,1595.48,1596.15,1598.17,1594.13
7,1861.95,1862.62,1862.62,1861.95
8,2127.75,2127.75,2127.75,2127.75
9,2388.84,2396.24,2396.24,2384.8
10,2653.29,2664.06,2653.29,2658
11,2922.46,2919.09,2922.46,2919.09
12,3193.64,3175.47,3192.97,3192.97
13,3450.7,3458.1,3450.7,3464.83
14,3723.23,3723.23,3723.23,3723.23
15,3989.7,3989.7,3989.7,3989.7